Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Anthill Farms;Anthill Farms Comptche Pinot Noir;2018;Anthill Farms Comptche Pinot Noir 2018.jpg;Wine Enthusiast;WE;93;"Wine Enthusiast 93 * ""Very ripe and earthy, this big but relaxed wine overflows with black-cherry and cooked cherry flavors that are accented by rhubarb and tobacco nuances. Moderate tannins give the palate some heft. It's a fun trip down the path less traveled."""
Bodega Noemia;Bodega Noemia Malbec;2017;Bodega Noemia Malbec 2017.jpg;James Suckling;JS;96;James Suckling 96 * So floral on the nose with hints of citrus and crushed stones. Medium to full body. Very silky tannins. Extended finish that gives a sense of ripeness and precision. The fruit pops out at the end. Balanced and all about finesse. Savory freshness brings you back together. Drinkable now, but will age for years ahead.~JS
Bodega Noemia;Bodega Noemia Malbec;2017;Bodega Noemia Malbec 2017.jpg;Wine Advocate;WA;96;Wine Advocate 96 * 2017 was a humid that had a late spring frost and a cool summer with some higher temperatures during harvest. The 2017 Noemia, produced with grapes from 1.5 -hectare plot that has been certified by Demeter for the past seven years, fermented with 15 full clusters and 20 crushed berries, and the rest fermented uncrushed in 2,500-liter open top oak fermenters with their own estate yeasts. The wine matured in first and second use oak demi-mulds for 23 months, during which time the wine was racked three times. The wine has a restrained 13 alcohol. The extended elevage made it feel extremely young and backward compared to the 2018s I tasted next to it. The oak is still noticeable, and I think it will need one or two years in bottle to integrate it completely. There is beautiful fruit, flowers, purity and elegance, with a medium- bodied  palate that reveals plenty of energy, fine tannins and long-lasting flavors, finishing with very tasty, almost salty sensations. 3,900 bottles and 150 magnums were filled in May 2019.~LG
Bodega Noemia;Bodega Noemia Malbec;2017;Bodega Noemia Malbec 2017.jpg;Vinous;VIN;93;Vinous Media 93 * A Malbec planted in 1932 in Mainque, aged in 600-liter barrels for 23 months. The year and the new direction taken by the man in charge of Noemia, Hans Vindig Diers, both bore fruit in this wine. Purple in color with a nose of ripe plum and cedar and pencil box aromas, it is delicate in the mouth, presenting a smooth, elegant complexion and an aftertaste of oak overlaid with a gentle touch of smoke. A deliciously fluid take on this variety.~JH
Dei;Dei Vino Nobile Bossona Sangiovese;2015;Dei Vino Nobile Bossona Sangiovese 2015.jpg;Wine Spectator;WS;95;"Wine Spectator 95 * ""This red is broad, yet vivid and focused, featuring violet, black currant, blueberry, iron and tobacco aromas and flavors. A swath of dense tannins lends support as this plays out on the long aftertaste. Distinctive and complex. Drink now through 2036. 1,100 cases made, 400 cases imported.  BS"""
Badia a Coltibuono;Badia a Coltibuono Chianti Classico Estate;2018;Badia a Coltibuono Chianti Classico Estate 2018.jpg;James Suckling;JS;91;"James Suckling 91 * ""A fresh, delicate Chianti Classico showing lots of typical character and brightness with orange-peel and bark undertones. Light to medium body, light tannins and a delicious, crisp finish. From organically grown grapes. Drink now."""
Giacomo Mori;Giacomo Mori Chianti Sangiovese;2017;Giacomo Mori Chianti Sangiovese 2017.jpg;Vinous;VIN;86;"Vinous Media 86 * ""Mori's 2017 Chianti is a solid choice for drinking now and over the next few years. Dark cherry, spice, leather, licorice and dried herbs give the 2017 a bit more kick and richness than is the norm. The warm, dry vintage yielded a slightly cooked, jammy version of the estate's Chianti. Even so, there is good value here. -- Antonio Galloni"""
Orin Swift D66;Locations I-7 by Dave Phinney Italian Red Wine;2017;Locations I-7 by Dave Phinney Italian Red Wine 2017.jpg;James Suckling;JS;92;"James Suckling 92 * ""The black-olive, blueberry and blackberry character, combined with stone and orange peel is very attractive. Full to medium body. Solid core of fruit and a flavorful, zesty finish. A blend of negroamaro, nero davola and barbera."" "
Terra Noble;Terra Noble Gran Reserva Carmenere;2017;Terra Noble Gran Reserva Carmenere 2017.jpg;Wine Spectator;WS;89;"Wine Spectator 89 * ""Ripe, with peppery accents to the roasted plum and raspberry tart flavors, featuring meaty notes. Dark chocolate, smoke and tar details show on the tannic finish. Drink now through 2023."""
J. Ordonez;Bodegas Ordonez Vatan Tinta De Toro;2016;Bodegas Ordonez Vatan Tinta De Toro 2016.jpg;Wine Spectator;WS;93;Wine Spectator 93 * Firm and dense, this red delivers rich flavors of blackberry, fig, cocoa, licorice and mineral, set in a thick texture, supported by well-integrated tannins and kept lively by balsamic acidity. Savory, even austere, yet harmonious and complete. Best from 2022 through 2036. 2,250 cases made, 1,250 cases imported.  TM
J. Ordonez;Bodegas Ordonez Vatan Tinta De Toro;2016;Bodegas Ordonez Vatan Tinta De Toro 2016.jpg;Jeb Dunnuck;JD;93;"Jeb Dunnuck 93 * ""More elegant and seamless, the 2016 Vatan checks in as all Tinta de Toro that spent 20 months in new French oak. It has a brilliant bouquet of blackcurrants, toasted spice, crushed violets, and owery incense. Rich and full-bodied, with good acidity, beautiful balance, and a great nish, it's going to benet from 2-4 years of bottle age and keep for 20+ years. It's a stunning wine."" Jeb Dunnuck, jebdunnuck.com, Sept. 6th 2019 "
La Vizcaina;La Vizcaina Vinos El Rapolao Bierzo Tinto Mencia;2018;La Vizcaina Vinos El Rapolao Bierzo Tinto Mencia 2018.jpg;Wine Advocate;WA;95+;"Wine Advocate 95+ * ""There is a bit of an animal hint on the nose of the 2018 La Vizcaína El Rapolao, which Raúl Pérez tells me is always part of the character of the wine when it's young. The difference with the 2017 is the quality of the tannins, which rounder and more elegant here, and the concentration, which is lower here, so this 2018 comes through as more fluid, fresh and elegant, with a silkier mouthfeel. They finally bought the vineyard in 2018, and the change in viticulture resulted in lower yields: they produced 6,000 bottles of this 2018, compared with the 10,000 bottles of the 2017. They have bought three more plots for this bottling, so volumes will grow in the future. The initial sensation fades after the wine has been in bottle for one hour, and it makes sense that it's gong to disappear with some more time in bottle. Pérez thinks it might be related to the recent bottling. It was bottled in May 2020, a few weeks before I tasted it."""
MacMurray Ranch;MacMurray Ranch RRV Pinot Noir;2016;MacMurray Ranch RRV Pinot Noir 2016.jpg;Wine Advocate;WA;90;"Robert Parker's Wine Advocate 90 Points *   * ""Pale to medium ruby-purple colored, the 2016 Pinot Noir Russian River Valley gives intense red currants and Bing cherries with hints of blackberries and black pepper plus a waft of underbrush. Medium-bodied, finely crafted and refreshing on the palate, it has a lovely structure of finely grained tannins and just enough freshness, finishing on a compelling mineral note."""
Tormaresca;Tormaresca Primitivo Torcicoda;2016;Tormaresca Primitivo Torcicoda 2016.jpg;Wine Spectator;WS;90;Wine Spectator 90 * Well-balanced and fresh, this medium-bodied red features a thread of ground spice that underscores flavors of crushed black raspberry, cherry, thyme and red licorice. Light tannins sculpt the clean-cut finish.
Badia a Coltibuono;Badia A Coltibuono Chianti Classico Reserva Estate;2016;Badia A Coltibuono Chianti Classico Reserva Estate 2016.jpg;Wine Advocate;WA;93;"Wine Advocate 93 * ""Showing beautiful results in an excellent vintage, the 2016 Chianti Classico Riserva is a graceful and elegantly tempered red wine. It makes good on all the basic promises of traditional Sangiovese: the complexity and elegance of the grape and that fresh acidity. It opens to a mid-weight style, making this a perfect wine for roast chicken and roast potatoes. Pretty mineral notes appear on the close, and the tannin is beautifully integrated."""
Badia a Coltibuono;Badia A Coltibuono Chianti Classico Reserva Estate;2016;Badia A Coltibuono Chianti Classico Reserva Estate 2016.jpg;Wine & Spirits;WAS;93;"Wine & Spirits 93 * ""Lively acidity and fine-grained tannins give a seamless structure to this wines high-toned red berry flavors. The blend (sangiovese with ten percent of colorino, canaiolo and ciliegiolo) reflects this estates emphasis on native Tuscan varieties, and vines of up to 40 years of age impart balance and concentration. A wine of classic elegance and restraint, it has the structure and freshness to improve over the next decade."" Best Buy "
Two Hands;Two Hands Lilys Garden Shiraz;2017;Two Hands Lilys Garden Shiraz 2017.jpg;Wine Advocate;WA;96;"Jeb Dunnuck 96 * ""More reserved but no less brilliant, the 2017 Shiraz Lily's Garden comes from the McLaren Vale and spent 18 months in just 9 new French oak. Classic Syrah notes of dark black fruits, damp herbs, scorched earth, and obvious minerality give way to a medium to full-bodied beauty that is flawlessly balanced, textured, and seamless. Its up with the finest vintages Ive tasted of this cuve and will keep for upwards of a decade."" * ""Robert Parker's Wine Advocate 92 * The 2017 Lily's Garden Shiraz is marked by ripe cherry fruit and herbal undertones. Hints of thyme and mint appear on the nose, while the medium to full-bodied palate is creamy and ripe, turning silky on the finish. This is one of the few Garden series wines where the oak is evident, but it's still well blended with the rest of the wine, showing up as just a bit of additional structure."""
Two Hands;Two Hands Lilys Garden Shiraz;2017;Two Hands Lilys Garden Shiraz 2017.jpg;Jeb Dunnuck;JD;96;"Jeb Dunnuck 96 * ""More reserved but no less brilliant, the 2017 Shiraz Lily's Garden comes from the McLaren Vale and spent 18 months in just 9 new French oak. Classic Syrah notes of dark black fruits, damp herbs, scorched earth, and obvious minerality give way to a medium to full-bodied beauty that is flawlessly balanced, textured, and seamless. Its up with the finest vintages Ive tasted of this cuve and will keep for upwards of a decade."" * ""Robert Parker's Wine Advocate 92 * The 2017 Lily's Garden Shiraz is marked by ripe cherry fruit and herbal undertones. Hints of thyme and mint appear on the nose, while the medium to full-bodied palate is creamy and ripe, turning silky on the finish. This is one of the few Garden series wines where the oak is evident, but it's still well blended with the rest of the wine, showing up as just a bit of additional structure."""
Vina Zorzal;Vina Zorzal Navarra Graciano;2018;Vina Zorzal Navarra Graciano 2018.jpg;Wine Advocate;WA;91;"Wine Advocate 91 * ""The 2018 Graciano, the !rst wine they produced at the new Via Zorzal in 2007, was produced with grapes from the village of Corella, and they want to show the expression of the grape in the village, more Mediterranean than Fitero, where they have a significant percentage of their vines. The spicy character of the wine and the lively palate are the expression of the Graciano in their village, what they have been trying to express since 2015. It fermented in stainless steel with moderate extraction and matured in used French oak barrels of different sizes for nine months. This is a very fresh vintage, and the wine is harmonious, spicy, with an herbal hint, with some dusty tannins, chalky and a bitter twist in the !nish. I think the earlier harvest of the grape delivers wines that are more transparent, and this is quite stony and tasty. This is a very good value and a great introduction to Graciano. 36,000 bottles produced."" ~ LG"
Stag's Leap Wine s;Stags Leap Wine Cellars Fay Cabernet Sauvignon;2017;Stags Leap Wine Cellars Fay Cabernet Sauvignon 2017.jpg;Wine & Spirits;WAS;95;"Wine & Spirits 95 * ""As Stag’s Leap Wine Cellars sets out to celebrate its 50th anniversary, this vintage of Fay cabernet may be the best wine I’ve tasted from that historic vineyard—the site and the wine that initially convinced Warren Winiarski to purchase the rocky hillside next to Nathan Fay’s vineyard. The soils at Fay are alluvial, remnants of an ancient riverbed, unlike the rock that eroded off the Stags Leap Escarpment and collected at the base of the hill at S.L.V., Winiarski’s original vineyard. In 2017, Fay is the elegant beauty. There’s nothing pushy or potent about its complexity, just a waterfall of minerals and fruits that seems to continue long after each taste. It would be hard not to fall in love with this wine’s svelte refinement. Open a bottle and let it lift your mood."""
Stag's Leap Wine s;Stags Leap Wine Cellars Fay Cabernet Sauvignon;2017;Stags Leap Wine Cellars Fay Cabernet Sauvignon 2017.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * ""A barrel sample of 98.5% Cabernet Sauvignon and 1.5% Cabernet Franc, the 2017 Cabernet Sauvignon Fay Vineyard is very deep purple-black colored with bold black fruit notions of blackberries, black plums and warm black currants plus hints of camphor, cedar chest and charcoal with a waft of bay leaves. Medium to full-bodied with a firm, grainy frame and just enough freshness, it has a good core of fruit with plenty of savory accents on the finish. Rating: 92-94"""
Stag's Leap Wine s;Stags Leap Wine Cellars Fay Cabernet Sauvignon;2017;Stags Leap Wine Cellars Fay Cabernet Sauvignon 2017.jpg;Decanter;D;94;"Decanter 94 * ""Nathan Fay’s 1968 Cabernet from this plot lit the fire for Warren Winiarski’s purchase of the adjoining land, which would go on to become Stag’s Leap Wine Cellars. Then in 1986 Winiarski bought Fay Vineyard and immediately replanted, making 1990 the first vintage under Stag’s Leap Wine Cellars’ ownership. This fruit produces a beautiful, red-fruited and perfumed expression. Aromas of underbrush, cigar box and toffee meld into a dense but lifted, multi-layered palate with flavours of bramble, cassis and cigar smoke. About 2% of Cabernet Franc rounds out the blend. Drinking Window 2020 - 2040"""
Maipe;Maipe Reserve Malbec;2018;Maipe Reserve Malbec 2018.jpg;Wine & Spirits;WAS;90;"Wine & Spirits 90 * ""Pulled from estate vineyards in Agrelo, at 3,000 feet in altitude, this is fresh and brisk. A year in oak barrels contributed some toasty spice, but the lasting impression is of red fruit—cranberry, currant, red cherry and red plum. Lively, open and lasting, it’s flexible enough to pour with anything, from mac and cheese to sauerbraten."""
Domaine De La Charbonniere;Domaine de la Charbonniere Chateauneuf du Pape Cuve;2018;Domaine de la Charbonniere Chateauneuf du Pape Cuve 2018.jpg;Jeb Dunnuck;JD;92;Jeb Dunnuck 92 * Leading off the four Chteauneuf du Pape releases, the 2018 Chteauneuf Du Pape (70 Grenache and 15 each of Syrah and Mourvdre) offers lots of blackberry fruits as well as notes of violets, flowers, and sandy, loamy earth. Its medium-bodied, with a silky texture, ripe tannins, and the charming nature of the vintage front and center. * Range: 90-92 ~JD
Le Vieux Telegraphe;Le Vieux Telegraphe La Crau Chateauneuf du Pape;2017;Le Vieux Telegraphe La Crau Chateauneuf du Pape 2017.jpg;James Suckling;JS;96;"James Suckling 96 * ""Immediately a sense of darker fruit in this vintage. The nose has closed up a little since tasting in barrel. It has some reserved, sanguine notes and an essence-like, raspberry core. Some stones and chalk here, too. Very long and focused palate. The grenache is singing here. Dense but soft and supple tannins, the product of thick, healthy skins. Best from 2025."""
Le Vieux Telegraphe;Le Vieux Telegraphe La Crau Chateauneuf du Pape;2017;Le Vieux Telegraphe La Crau Chateauneuf du Pape 2017.jpg;Jeb Dunnuck;JD;95;"Jeb Dunnuck 95 * ""As always, the 2017 Châteauneuf Du Pape sees a small amount of stems, and the blend is 60% Grenache, 15% each of Syrah and Mourvèdre, and the rest an assortment of varieties. Red currants, lavender, salty minerality, nori, and plenty of peppery garrigue notes emerge from the glass. It's medium to full-bodied, has the sunny, sexy style of the vintage, yet also builds nicely on the palate, with ripe yet present tannins. It's going to require 4-5 years of bottle age to hit price time, but it will keep for two decades."""
Le Vieux Telegraphe;Le Vieux Telegraphe La Crau Chateauneuf du Pape;2017;Le Vieux Telegraphe La Crau Chateauneuf du Pape 2017.jpg;Wine Advocate;WA;94;"Robert Parker's Wine Advocate 94 * ""Slated to be bottled less than a week after my visit, the final blend of the 2017 Chateauneuf du Pape La Crau is fresh, vibrant and zesty, with notes of roses, tea, raspberries and blood oranges. Full-bodied yet diaphanous and silky, it doesn't appear to have the richness of either the 2016 or 2018."""
Domaine Raspail;Domaine Raspail-Ay Gigondas 2016 375ml;0000;Domaine Raspail-Ay Gigondas 2016 375ml.jpg;Decanter;D;95;"Decanter 95 * ""From a single unbroken plot near the village of Gigondas, matured in old foudres for 18-24 months, producing a single wine- no special cuves. It has a lovely nose, really detailed with vibrant damson compote and blackberries. Black cherries can also be coaxed out, alongside some lavender and dark chocolate. The palate is medium-bodied, really fresh and crisp, with a long, herbal finish. It's already dangerously drinkable and buzzes with life. Really top stuff, with a lightness of touch and elegance that others lack this year.""~JLL"
Domaine Raspail;Domaine Raspail-Ay Gigondas 2016 375ml;0000;Domaine Raspail-Ay Gigondas 2016 375ml.jpg;Jeb Dunnuck;JD;94;"Jeb Dunnuck 94 * ""Similarly colored, the 2016 Gigondas (70 Grenache, 23 Syrah and the rest Mouvdre) will be a beautiful wine from this reference point estate, and I suspect ranking among the finest wines ever made from this address. A huge blast of black raspberries, cherries, dried earth, pepper, and graphite notes all flow to a medium to full-bodied, incredibly pure Gigondas that has present tannins, a great mid-palate, and no hard edges. It's going to benefit from short-term cellaring and keep for two decades.""~JD"
Domaine Raspail;Domaine Raspail-Ay Gigondas 2016 375ml;0000;Domaine Raspail-Ay Gigondas 2016 375ml.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * ""Still in foudre, the 2016 Gigondas from this estate is a blend of 70 Grenache, 23 Syrah, and 7 Mouvedre. It's full-bodied and plush but lively, with peppery accents to the ripe cherry and apricot-tinged fruit. It strikes a fine balance between ripeness and freshness, precisely hitting that fleeting moment of peak maturity and then adding hints of spice and herb complexity. It should drink well for a decade.""~JC"
Dunn;Dunn Vineyards Napa Valley Cabernet Sauvignon;2016;Dunn Vineyards Napa Valley Cabernet Sauvignon 2016.jpg;Vinous;VIN;93;"Vinous Media 93 * ""Dunn's 2016 Cabernet Sauvignon (Napa Valley) is a pretty, easygoing wine that readers will be able to drink with minimal cellaring. Medium in body with good brightness, the 2016 has quite a bit to offer. Sweet red fruit and floral notes add perfume to the nicely lifted finish. The Napa Valley Cabernet was bottled recently and is a bit reticent, but it offers fine potential. Pretty savory and floral notes extend the finish nicely.""~Antonio Galloni"
Dunn;Dunn Vineyards Napa Valley Cabernet Sauvignon;2016;Dunn Vineyards Napa Valley Cabernet Sauvignon 2016.jpg;Wine Spectator;WS;93;"Wine Spectator 93 * ""Features solid blackberry and raspberry compote notes mixed with red and black licorice and fruitcake flavors. Youthfully packed now, this offers a well-buried juicy spine and an engaging briary edge on the finish, while the fruit easily keeps pace. Will age well."""
Chateau Marquis D’alesme;Chateau Marquis DAlesme Becker Margaux;2016;Chateau Marquis DAlesme Becker Margaux 2016.jpg;Wine Advocate;WA;96;"Wine Advocate 96 * ""Deep garnet-purple colored, the 2016 Marquis d'Alesme Becker leaps from the glass with gregarious notions of plum preserves, crme de cassis and Black Forest cake with hints of potpourri, star anise, menthol and tapenade. Full, rich, firm and grainy, with fantastic freshness lifting the densely packed palate, it has a long, beautifully fragrant finish.""  ~Robert Parker, LPB, 2019."
Chateau Marquis D’alesme;Chateau Marquis DAlesme Becker Margaux;2016;Chateau Marquis DAlesme Becker Margaux 2016.jpg;Wine Spectator;WS;91-94;"Wine Spectator 91-94 * ""Fresh, with a pure beam of cassis, flecked with singed alder, dried anise and lilac notes. Shows good latent grip through the finish, maintaining a racy edge."" ~Wine Spectator, JM, 2017."
Chateau Marquis D’alesme;Chateau Marquis DAlesme Becker Margaux;2016;Chateau Marquis DAlesme Becker Margaux 2016.jpg;James Suckling;JS;91-92;"James Suckling 91-92 * ""Refined and very pretty with currants, blueberries and crushed stones. Medium body and polished tannins. Not the 2015 but very inviting indeed.""  ~James Suckling, JS, 2017."
Hanzell;Hanzell Vineyards Sabella Pinot Noir;2018;Hanzell Vineyards Sabella Pinot Noir 2018.jpg;Wine Spectator;WS;92;"Wine Spectator 92 * ""An elegant, burnished version, with lively acidity backing the flavors of plum compote and dried cherry, featuring minerally accents. Cedar and spice details show on the finish. Drink now through 2024. 2,178 cases made. — KM"""
Vina Haras de Pirque;Haras de Pirque Hussonet Gran Rsv Cabernet Sauv;2016;Haras de Pirque Hussonet Gran Rsv Cabernet Sauv 2016.jpg;James Suckling;JS;90;James Suckling 90 * This has a sheen of sweetly spicy aromas, vanillin in particular, and theres a smooth, juicy and vibrant core of blackcurrant, plum and cherry aromas and flavors in behind. Modern, drinkable cabernet here. Drink or hold.
Vina Haras de Pirque;Haras de Pirque Hussonet Gran Rsv Cabernet Sauv;2016;Haras de Pirque Hussonet Gran Rsv Cabernet Sauv 2016.jpg;Wine Spectator;WS;89;Wine Spectator 89 * Focused, with dried green herbal notes to the concentrated dark fruit and Asian spice flavors. Slate and French roast accents show on the crisp finish. Drink now through 2023.
Il Marroneto;Il Marroneto Brunello di Montalcino;2015;Il Marroneto Brunello di Montalcino 2015.jpg;Wine Advocate;WA;96;"Wine Advocate 96  * ""You just can't beat the purity of the bouquet here: cherries, red licorice, blue flowers and currants. It's all stunning. Il Marroneto's 2015 Brunello di Montalcino opens to a light garnet color with faint ruby highlights. The wine never veers from its lanes, sticking to an absolutely traditional and fresh expression from the appellation. It offers a lean to medium-weight mouthfeel with radiant fruit flavorsthink pure cherry fruit. Fruit is harvested from a five-hectare parcel at 300 meters above sea level with calcareous sand and Galestro soils. These conditions lead to the aromatic intensity of the wine, and that's the main takeaway in this classic vintage. There is a moment of softness that expands quickly over the palate. These results are graceful and gorgeous. Some 23,569 bottles were made. This wine was bottled in June 2019, and it hit the market in January 2020."""
Aalto;Aalto Tempranillo;2018;Aalto Tempranillo 2018.jpg;Jeb Dunnuck;JD;95;"Jeb Dunnuck 95 * ""Starting with the 2018 Aalto (100% Tempranillo), this perennial winner boasts a deep purple hue as well as a rocking nose of black raspberry and cassis fruits interwoven with lots of Asian spices, cedarwood, lead pencil, chocolate, and graphite. Rich, full-bodied, and powerful, with a great mid-palate, it stays light on its feet and has a focused, pure texture, notable tannins, and a great finish. This is a head-turning, beautifully textured Ribera del Duero to enjoy over the coming decade or more.""~J.D."
Chateau La Grande Roche;Chateau La Grande Roche Cabernet Sauvignon;2018;Chateau La Grande Roche Cabernet Sauvignon 2018.jpg;Vinous;VIN;93;"Vinous Media 93 * ""The 2018 Cabernet Sauvignon Chateau La Grande Roche is such a delicious wine. A burst of sweet red cherry, red plum, mocha, spice, licorice and leather race out of the glass. Exuberant and juicy, yet very much medium in body, the 2018 is a wine of pure and total pleasure. All the elements come together in a mid-weight Cabernet Sauvignon that hits all the right notes. The Grand Roche is the second selection from the Forman Cabernet, and a great value to boot.""~Antonio Galloni"
Cune;Cune Pagos de Vina Real Rioja;2016;Cune Pagos de Vina Real Rioja 2016.jpg;Wine Enthusiast;WE;97;"Wine Enthusiast 97 * 2020 Top 100 # 41 * “Ripe, earthy berry aromas include spice notes and a hint of animal while forming the passageway to a great wine. A dense palate is tightly built and pure, with layers of ripe berry, plum and oak flavors that are ideally balanced. This is an extremely generous yet impeccably crafted Tempranillo from an outstanding year; drink from 2025–2040."""
Cune;Cune Pagos de Vina Real Rioja;2016;Cune Pagos de Vina Real Rioja 2016.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * “I hadn't tasted the more modern wine from the Viña Real range for a while, and I was a bit surprised to see that they are already releasing the 2016 Pagos de Viña Real, pure Tempranillo aged in new French oak barrels for 18 months. It's quite a bit more classical than what I remember from the previous vintages, with less imprint of the French oak; in fact, it feels like it might have had some American oak, as it has balsamic notes of cigar ash, cold bonfire and incense. It's medium to full-bodied with fine tannins and good grip. This is a lot more elegant and balanced. Modernity and tradition seem to converge.”"
Anima Negra;Anima Negra AN;2017;Anima Negra AN 2017.jpg;Wine Advocate;WA;90-92;"Wine Advocate 90-92 * ""I sampled the unbottled 2017 reds, including the 2017 AN, the flagship bottling here. It's mostly Callet with some Mantonegro and Fogoneu found in the small vineyards and comes from a dry, early and low-yielding year. The wine I tasted was a sample of the final blend that was taken from barrel and assembled some ten days before I tasted it. I found plenty of luxurious oak aromas—smoke, spices, dark chocolate and toast—with something creamy and a core of ripe berry fruit. The palate was voluptuous and juicy, with creamy and smoky notes, very oaky, in need of some time in bottle. But I think this will always remain oaky. This is a great commercial red that will please many, but I find that the identity of the place and varieties gets lost in all that new oak. 20,000 bottles should be bottled around March-April 2019."""
Chateau de Pitray;Chateau de Pitray Cotes de Bordeaux;2016;Chateau de Pitray Cotes de Bordeaux 2016.jpg;James Suckling;JS;92;James Suckling 92 * Aromas of glossy, spicy oak and plush, ripe dark plums with hazelnut and tarry nuances, too. The flavorful palate delivers in assertive and bold style with a juicy and intense surge of fruit, holding long into the finish. * by James Suckling, JS, 2019.
Chateau de Pitray;Chateau de Pitray Cotes de Bordeaux;2016;Chateau de Pitray Cotes de Bordeaux 2016.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 * A concentrated wine from the Pitray family, who fought in the American Revolution, this has bold tannins and the potential for rich fruit. A powerful wine, it shows plenty of spice as well as ripe black-currant flavors and acidity.
Mas de Daumas Gassac;Mas de Daumas Gassac Rouge;2018;Mas de Daumas Gassac Rouge 2018.jpg;Vinous;VIN;93;"Vinous Media 93 * ""The 2018 Rouge opens with a burst of sweet red and purplish fruit that is immediately alluring. Medium in body and silky, the 2018 impresses with its understated finesse and total class. The 2018 can be enjoyed today for its primary fruit, but I would prefer to cellar it for a few years to gain a bit more nuance. It is such a pretty and effusive wine. Bright acids and persistent tannins, both Gassac signatures, linger.""~Antonio Galloni"
Calera;Calera Central Coast Pinot Noir;2017;Calera Central Coast Pinot Noir 2017.jpg;Wine Enthusiast;WE;93;Wine Enthusiast 93 * This blend from sites across the Central Coast carries all the expert hallmarks of the brand, from ripe fruit to earthy spice. Tightly wound aromas of pomegranate, berry, soil and star anise lead into a crisp yet savory palate of raspberry and deep cherry. Pinches of dried sage and thyme linger on the finish.-WE
Calera;Calera Central Coast Pinot Noir;2017;Calera Central Coast Pinot Noir 2017.jpg;Wine Advocate;WA;92;Robert Parker's Wine Advocate 92 * Aged 10 months in 10 new French oak, the 2017 Pinot Noir Central Coast has a pale to medium ruby color and open, inviting aromas of wild blackberries, oolong tea leaves, dried cranberries and cherries with touches of underbrush, charcuterie, dried flowers and earth. The palate is light to medium-bodied with a firm, finely grained frame and earth-laced fruits, finishing with lovely freshness and spice.-WA
Calera;Calera Central Coast Pinot Noir;2017;Calera Central Coast Pinot Noir 2017.jpg;Wilfred Wong;WW;90;Wilfred Wong 90 * COMMENTARY: The 2017 Calera Pinot Noir is pure and bright. TASTING NOTES: This wine exudes freshness and energy. Enjoy its pristine aromas and flavors of red fruits and shading of leather with carnitas in a crispy taco shell. (Tasted: November 25, 2019, San Francisco, CA)-WW
Cristom;Cristom Eileen Vineyards Pinot Noir;2018;Cristom Eileen Vineyards Pinot Noir 2018.jpg;Vinous;VIN;95;"Vinous Media 95 * ""Deep scarlet. A complex, highly perfumed bouquet evokes spice-tinged raspberry liqueur, cherry and potpourri, along with a deeper cola nuance and a hint of smoky minerality. Velvety and seamless on the palate, offering expansive red and blue fruit, lavender pastille and spicecake flavors underscored by a vein of juicy acidity. Shows impressive delineation and finishes extremely long and spicy, with polished tannins and resonating floral and cherry notes.-- Josh Raynolds"""
Peter Michael;Peter Michael Au Paradis Cabernet Sauvignon;2017;Peter Michael Au Paradis Cabernet Sauvignon 2017.jpg;James Suckling;JS;96;"James Suckling 96 * ""This is a beautiful wine with juicy fruit. Tile and iron undertones add an iodine note. Medium to full body and round tannins. Fresh and flavorful. Very pretty length and intensity. Hints of spice, stone and walnuts. Elegant and beautiful. Tight and structured. Drink or hold. Better after 2023."""
Peter Michael;Peter Michael Au Paradis Cabernet Sauvignon;2017;Peter Michael Au Paradis Cabernet Sauvignon 2017.jpg;Vinous;VIN;95;"Vinous Media 95 * ""The 2017 Cabernet Sauvignon Au Paradis, from Peter Michael's parcel in the hills of Eastern Oakville, is one of the successes of this trying vintage. Red cherry jam, game, smoke, licorice, spice and incense all meld together effortlessly. This is an especially refined wine for a sector in Oakville that seems to lean more naturally towards power. The 2017 spent 18 months in Darnajou barrels, 50 new. I would prefer to cellar the 2017 for a few years, but if enjoyed young, several hours of aeration will do wonders. -- Antonio Galloni"""
Peter Michael;Peter Michael Au Paradis Cabernet Sauvignon;2017;Peter Michael Au Paradis Cabernet Sauvignon 2017.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * ""Composed of 76 Cabernet Sauvignon and 24 Cabernet Franc coming from Oakville AVA, the 2017 Cabernet Sauvignon Au Paradis reveals a deep garnet-purple color and charges out of the gate with expressive notes of warm cassis, plum preserves and wild blueberries with hints chocolate mint, candied violets, black loam, truffles and charcuterie. Medium to full-bodied, the palate delivers bags of juicy fruit with great freshness and solid, ripe, grainy tannins, finishing with laudable purity. 1,450 cases were made."""
Peter Michael;Peter Michael Au Paradis Cabernet Sauvignon;2017;Peter Michael Au Paradis Cabernet Sauvignon 2017.jpg;Wine Spectator;WS;94;"Wine Spectator 94 * ""Juicy and winey, with a terrific core of ripe blackberry and warmed cassis flavors, laced with licorice root, sage and loam notes. Drives nicely through the finish, showing a touch of polish along the edges as the fruit ripples along. Best from 2022 through 2037. 1,450 cases made.  JM"""
